,district,ward,type_of_housing,legal_paper,num_floors,num_bed_rooms,squared_meter_area,length_meter,width_meter,price_in_million_per_square_meter
2721,Thanh Xuân,Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,40.0,12.5,3.2,96.25
2730,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,4,43.0,11.0,4.0,89.53
2748,Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,2,24.0,8.0,3.0,95.83
2750,Cầu Giấy,Nghĩa Đô,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,42.0,8.4,5.0,104.76
2756,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,3,3,50.0,7.7,6.8,73.0
2771,Hà Đông,Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,3,3,29.0,8.0,3.9,105.17
2797,Hai Bà Trưng,Vĩnh Tuy,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,35.0,9.0,4.5,100.0
2800,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3,34.0,10.0,3.4,64.71
2807,Nam Từ Liêm,Đại Mỗ,"Nhà ngõ, hẻm",Đã có sổ,3,3,40.0,11.0,3.8,69.5
2832,Long Biên,Gia Thụy,"Nhà ngõ, hẻm",Đã có sổ,5,3,34.0,9.0,4.0,88.24
2841,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,3,28.0,7.0,3.4,103.57
2858,Hà Đông,Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,3,50.0,13.8,4.0,34.0
2861,Long Biên,Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,10.0,3.4,57.14
2879,Hà Đông,Phúc La,Nhà phố liền kề,Đã có sổ,4,4,50.0,12.0,4.5,116.0
2888,Cầu Giấy,Mai Dịch,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,45.0,11.0,4.0,133.33
2896,Hoàng Mai,Mai Động,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,6.0,5.0,103.33
2932,Hai Bà Trưng,Cầu Dền,"Nhà ngõ, hẻm",Đã có sổ,3,3,46.0,11.0,4.0,68.48
2935,Long Biên,Long Biên,"Nhà ngõ, hẻm",Giấy tờ khác,4,3,40.0,8.0,5.0,63.75
2944,Nam Từ Liêm,Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,36.0,10.5,3.5,98.61
2947,Đống Đa,Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,45.0,11.0,4.0,95.56
2958,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,3,3,45.0,11.1,4.0,57.78
2959,Nam Từ Liêm,Trung Văn,"Nhà ngõ, hẻm",Đã có sổ,5,4,36.0,6.0,6.0,90.28
2969,Cầu Giấy,Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,5,4,39.0,10.0,3.8,120.51
2972,Bắc Từ Liêm,Phú Diễn,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,53.0,13.0,4.2,92.45
2973,Cầu Giấy,Nghĩa Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,46.0,9.2,5.0,143.48
2979,Cầu Giấy,Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,4,5,40.0,8.0,5.0,135.0
2987,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4,31.0,9.0,4.2,71.94
3001,Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,45.0,10.0,4.5,86.67
3005,Thanh Xuân,Thanh Xuân Bắc,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,11.0,3.8,69.5
3011,Đống Đa,Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,4,4,48.0,7.0,7.0,118.75
3015,Ba Đình,Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,5,5,34.0,11.0,3.1,102.94
3019,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5,4,45.0,14.0,3.4,84.44
3029,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,5.0,6.0,92.42
3031,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,6.0,5.0,80.0
3041,Thanh Xuân,Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,35.0,5.99,6.0,85.71
3044,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,5,50.0,10.0,5.0,92.0
3051,Cầu Giấy,Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,5,4,45.0,9.0,5.0,88.89
3063,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,2,20.0,7.0,3.0,90.0
3087,Long Biên,Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,10.0,4.5,64.44
3089,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,5,52.0,8.7,6.0,51.92
3121,Long Biên,Long Biên,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,3.5,52.86
3129,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,5.0,3.3,78.33
3162,Hai Bà Trưng,Trương Định,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,45.0,9.0,4.5,93.33
3164,Hà Đông,Hà Cầu,Nhà phố liền kề,Đã có sổ,5,5,48.0,12.0,4.0,133.33
3169,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,9.3,4.3,72.0
3180,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,3,25.0,5.0,5.0,98.0
3217,Ba Đình,Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,5.0,6.0,133.33
3227,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,10.0,4.0,75.0
3230,Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,6.0,5.0,82.81
3233,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,10.0,3.5,64.0
3249,Đống Đa,Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,4,3,40.0,11.0,3.9,96.25
3256,Nam Từ Liêm,Xuân Phương,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,5.0,6.0,74.75
3257,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,11.0,3.0,163.16
3268,Nam Từ Liêm,Xuân Phương,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,9.0,3.4,76.33
3281,Đống Đa,Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,4,3,27.0,8.5,3.5,92.59
3297,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4,50.0,11.0,4.52,73.0
3333,Thanh Xuân,Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,38.0,10.0,4.0,86.84
3338,Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,4,4,32.0,10.17,3.2,31.25
3352,Hà Đông,Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,7.0,5.0,47.65
3358,Long Biên,Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,6,4,33.0,8.0,4.5,119.7
3398,Hà Đông,Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,3,31.0,9.0,3.5,53.23
3410,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,3,41.0,10.0,4.0,34.88
3419,Hà Đông,Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,5,4,36.0,10.0,3.6,69.44
3428,Long Biên,Ngọc Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,30.0,6.0,4.1,89.33
3430,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,5,38.0,9.0,4.0,72.89
3432,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4,4,43.0,10.0,4.0,65.81
3436,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,9.0,3.5,56.88
3448,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,6,4,42.0,8.2,5.0,104.76
3453,Hà Đông,Biên Giang,"Nhà ngõ, hẻm",Đã có sổ,3,3,41.0,13.0,3.5,33.66
3462,Hoàng Mai,Vĩnh Hưng,"Nhà ngõ, hẻm",Giấy tờ khác,4,3,34.0,12.0,3.0,44.12
3468,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,34.0,10.0,3.4,100.0
3471,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,32.0,10.0,3.2,50.0
3481,Hoàng Mai,Hoàng Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,34.0,10.0,3.4,100.0
3499,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,3,3,36.2,9.0,4.1,93.06
3513,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,6,3,45.0,9.0,5.2,102.22
3515,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,4,4,70.0,12.0,5.5,84.29
3519,Đống Đa,Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,8.0,4.0,120.31
3528,Hà Đông,Phú La,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,10.2,4.0,82.22
3529,Ba Đình,Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,2,25.0,6.5,4.0,132.0
3541,Hà Đông,Phú La,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,10.2,4.0,82.22
3563,Đống Đa,Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,3,3,25.0,6.0,4.0,80.0
3565,Long Biên,Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,4,3,36.0,12.0,3.3,78.89
3585,Đống Đa,Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,4,4,50.0,10.0,5.0,84.0
3609,Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,5,4,28.0,7.0,4.0,103.57
3613,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,3,38.0,9.75,3.9,88.16
3630,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,4,55.0,11.0,5.0,90.91
3647,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,9.5,3.2,86.67
3651,Đống Đa,Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,8.0,5.0,97.5
3657,Hai Bà Trưng,Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,5,4,45.0,11.0,4.1,95.56
3679,Huyện Hoài Đức,Xã Di Trạch,"Nhà ngõ, hẻm",Đã có sổ,3,2,33.0,8.0,4.0,44.48
3680,Tây Hồ,Thụy Khuê,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,55.0,14.0,4.0,161.82
3700,Hà Đông,Yên Nghĩa,Nhà phố liền kề,Đã có sổ,4,4,35.0,10.0,3.5,45.71
3714,Đống Đa,Khâm Thiên,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,30.0,8.0,4.2,86.67
3715,Ba Đình,Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,4,5,50.0,13.9,3.6,114.0
3723,Hà Đông,Văn Quán,Nhà phố liền kề,Đã có sổ,4,4,36.0,9.0,4.0,119.44
3746,Hà Đông,Yết Kiêu,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,33.0,10.0,3.6,93.94
3753,Long Biên,Thượng Thanh,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,50.0,12.0,4.0,100.0
3758,Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,7.0,4.3,100.0
3762,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,4,50.0,13.0,4.0,73.0
3786,Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,2,47.0,11.0,4.3,75.53
3788,Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,10.0,4.0,141.25
3792,Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,2,47.0,11.0,4.3,75.53
3804,Hai Bà Trưng,Bùi Thị Xuân,"Nhà ngõ, hẻm",Đã có sổ,4,5,50.0,12.0,4.0,84.0
3805,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,3,4,30.0,10.0,3.0,80.0
3809,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,4,60.0,14.0,3.5,58.33
3824,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,3,40.0,8.0,5.0,150.0
3829,Đống Đa,Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,5,4,36.0,9.0,4.0,88.89
3833,Ba Đình,Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,5,4,33.0,8.0,4.0,116.67
3850,Hoàng Mai,Thanh Trì,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,75.0
3863,Nam Từ Liêm,Đại Mỗ,"Nhà ngõ, hẻm",Đã có sổ,3,4,38.0,11.0,3.5,64.47
3869,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,8.0,4.0,55.63
3876,Đống Đa,Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,4,3,40.0,5.8,7.0,67.5
3901,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,45.0,11.0,4.0,93.33
3902,Hà Đông,Phú La,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,10.2,4.0,82.22
3904,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,4,49.0,11.0,4.5,97.96
3915,Huyện Hoài Đức,Xã La Phù,"Nhà ngõ, hẻm",Đã có sổ,3,2,33.0,8.0,4.0,36.3
3927,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,36.0,4.0,3.6,43.06
3934,Ba Đình,Điện Biên,"Nhà ngõ, hẻm",Đã có sổ,4,2,26.0,7.0,3.5,157.69
3942,Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.5,3.85,97.14
3967,Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,9.0,3.5,82.81
3979,Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,8.0,4.0,82.81
4001,Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,9.0,3.5,73.44
4011,Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,8.0,4.0,76.56
4025,Bắc Từ Liêm,Cổ Nhuế 2,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,8.0,4.5,101.43
4035,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,9.0,3.6,45.63
4036,Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,9.0,4.0,98.39
4043,Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,40.0,9.0,4.0,72.5
4045,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,9.0,3.5,55.63
4051,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,3,31.0,9.0,3.5,71.94
4059,Hoàng Mai,Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,7.0,5.0,76.47
4074,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,5,42.0,12.0,4.0,100.0
4078,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,9.0,3.8,85.0
4081,Hà Đông,Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,9.0,3.5,56.67
4083,Bắc Từ Liêm,Cổ Nhuế 2,"Nhà ngõ, hẻm",Đã có sổ,4,4,32.0,7.5,4.6,68.75
4093,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,9.0,4.0,48.0
4094,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,3.5,40.0
4107,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4,3,38.0,10.0,3.8,61.97
4126,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,5,3,38.0,9.0,4.3,84.21
4137,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,7.8,3.5,82.26
4146,Nam Từ Liêm,Xuân Phương,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,10.0,3.5,88.57
4186,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,39.0,10.0,4.0,42.31
4199,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,11.0,3.8,41.25
4216,Hà Đông,Mộ Lao,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,40.0,10.0,4.0,95.0
4230,Hà Đông,Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,10.2,3.8,95.0
4239,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,9.0,3.5,47.74
4243,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,10.0,3.4,45.59
4278,Cầu Giấy,Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,7.0,5.0,97.14
4281,Nam Từ Liêm,Xuân Phương,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,10.0,3.6,80.3
4286,Hà Đông,Yết Kiêu,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,30.0,10.0,3.0,103.33
4293,Tây Hồ,Bưởi,"Nhà ngõ, hẻm",Đã có sổ,4,4,32.0,9.0,3.5,90.63
4295,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,7.8,3.5,72.58
4313,Bắc Từ Liêm,Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,3,4,70.0,13.0,4.0,34.29
4315,Tây Hồ,Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,4,3,26.0,7.0,3.8,111.54
4316,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,36.0,10.0,3.6,43.33
4321,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,5,4,38.0,10.0,3.8,81.58
4326,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,5,5,40.0,10.0,4.0,102.0
4340,Nam Từ Liêm,Xuân Phương,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,9.0,3.5,83.87
4346,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4,34.0,9.7,3.6,87.65
4354,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,3.5,44.29
4365,Long Biên,Việt Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,58.0,11.74,3.87,102.59
4376,Hà Đông,Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,10.0,3.8,61.84
4397,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5,4,45.0,9.0,5.0,106.67
4422,Long Biên,Long Biên,"Nhà ngõ, hẻm",Đã có sổ,3,4,40.0,6.0,7.0,142.5
4433,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,7.0,5.0,71.43
4434,Hà Đông,Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,4,3,52.0,11.0,5.0,63.46
4441,Huyện Thanh Trì,Xã Tam Hiệp,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,40.0,10.0,4.0,57.5
4453,Hoàng Mai,Lĩnh Nam,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,33.0,11.0,3.0,74.24
4514,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,5,5,40.0,10.2,3.9,102.0
4546,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,6,3,33.0,10.0,3.3,103.03
4557,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,3,40.0,10.0,4.0,122.5
4581,Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,76.25
4587,Hoàng Mai,Mai Động,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,8.0,4.8,101.67
4608,Đống Đa,Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,5,2,22.0,4.4,5.0,100.0
4618,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,8.5,4.0,81.43
4619,Cầu Giấy,Quan Hoa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,48.0,7.0,4.0,133.33
4642,Tây Hồ,Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,6,4,34.0,7.0,5.0,76.47
4643,Hai Bà Trưng,Đồng Tâm,"Nhà ngõ, hẻm",Đã có sổ,5,3,34.0,10.0,3.4,85.29
4660,Hai Bà Trưng,Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,5,5,40.0,10.0,4.0,112.5
4668,Thanh Xuân,Kim Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,6,5,34.0,11.0,3.2,161.76
4682,Ba Đình,Đội Cấn,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,31.0,6.0,5.0,80.65
4687,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,5,47.0,14.0,3.5,75.53
4689,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,3,3,32.0,13.0,2.5,100.0
4691,Long Biên,Phúc Đồng,"Nhà ngõ, hẻm",Đã có sổ,4,3,50.0,12.1,4.1,92.0
4721,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,10.0,3.2,107.81
4723,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,11.0,4.0,86.67
4728,Long Biên,Long Biên,"Nhà ngõ, hẻm",Đã có sổ,4,4,50.0,12.5,4.0,78.0
4743,Hoàng Mai,Hoàng Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,31.0,10.0,4.0,74.19
4744,Đống Đa,Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,11.0,3.0,69.7
4759,Hoàng Mai,Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,4,3,47.0,7.0,7.0,56.38
4773,Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,5.0,6.0,81.67
4790,Thanh Xuân,Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,10.0,3.5,105.71
4791,Long Biên,Việt Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,60.0,15.0,4.0,99.17
4794,Ba Đình,Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,9.0,3.7,89.06
4798,Hai Bà Trưng,Bách Khoa,"Nhà mặt phố, mặt tiền",Đã có sổ,3,2,24.0,6.0,4.0,74.58
4804,Ba Đình,Ngọc Khánh,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,11.0,3.8,96.25
4811,Tây Hồ,Yên Phụ,Nhà phố liền kề,Đã có sổ,5,3,45.0,9.0,5.0,144.44
4812,Huyện Gia Lâm,Xã Đông Dư,"Nhà ngõ, hẻm",Đã có sổ,3,2,30.0,6.0,5.0,50.27
4813,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,6.0,5.0,70.0
4815,Thanh Xuân,Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,36.0,9.0,4.1,93.06
4831,Nam Từ Liêm,Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,32.0,8.0,4.0,110.94
4833,Long Biên,Đức Giang,Nhà biệt thự,Đã có sổ,4,5,58.0,15.0,4.0,102.59
4839,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,4,4,50.0,12.0,4.0,130.0
4841,Cầu Giấy,Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,5,4,60.0,14.0,4.5,75.0
4846,Đống Đa,Văn Miếu,"Nhà ngõ, hẻm",Đã có sổ,5,2,25.0,5.0,5.0,106.0
4847,Thanh Xuân,Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5,60.0,12.0,5.0,148.33
4858,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,4.0,64.29
4861,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,4,31.0,6.0,5.2,103.23
4874,Long Biên,Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,6.5,5.4,80.0
4884,Long Biên,Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,7.6,4.0,71.67
4911,Hoàng Mai,Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,10.0,4.5,62.22
4913,Thanh Xuân,Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,5,5,34.0,8.0,4.0,104.41
4919,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,9.0,3.4,113.33
4927,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,10.0,3.5,40.0
4943,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,6.0,6.0,111.67
4949,Đống Đa,Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,3,2,33.0,11.0,3.1,96.97
4972,Hoàng Mai,Mai Động,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,9.0,4.0,61.43
4976,Đống Đa,Quang Trung,"Nhà ngõ, hẻm",Giấy tờ khác,5,4,33.0,9.0,3.1,106.06
4979,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,10.0,3.5,82.86
5012,Hà Đông,Mộ Lao,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,48.0,15.0,3.5,104.17
5049,Long Biên,Long Biên,"Nhà ngõ, hẻm",Đã có sổ,5,3,65.0,11.6,3.9,87.69
5055,Hà Đông,Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,30.0,10.0,3.2,76.67
