,district,ward,type_of_housing,legal_paper,num_floors,num_bed_rooms,squared_meter_area,length_meter,width_meter,price_in_million_per_square_meter
399,Cầu Giấy,Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,3,44.0,9.5,4.6,79.55
411,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,8.0,4.0,79.69
415,Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,34.0,8.0,4.0,111.76
416,Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,49.0,12.25,4.0,75.51
472,Cầu Giấy,Quan Hoa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,41.0,10.0,4.1,112.2
477,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,4.0,95.71
490,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5,3,34.0,9.0,4.0,97.06
510,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,4,43.0,12.0,4.0,60.47
516,Bắc Từ Liêm,Cổ Nhuế 2,"Nhà ngõ, hẻm",Đã có sổ,4,4,47.0,11.0,4.2,63.83
523,Long Biên,Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,5,3,36.0,9.0,4.0,88.89
530,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,8.0,4.0,65.15
539,Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,3,22.0,4.2,5.0,113.64
551,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,4,31.0,7.0,4.6,66.13
582,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,3.46,65.14
591,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,3,35.0,10.0,3.5,45.71
596,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,9.0,3.0,75.0
615,Hoàng Mai,Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,6,5,42.0,10.0,4.0,142.86
638,Hà Đông,Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,10.0,3.0,60.0
649,Hoàng Mai,Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,35.0,7.0,5.0,88.57
652,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,8.0,3.7,62.86
664,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,6,4,38.0,10.0,3.6,92.11
670,Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,8.0,5.0,112.5
675,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,4.0,140.0
676,Ba Đình,Ngọc Khánh,"Nhà ngõ, hẻm",Đã có sổ,4,4,34.0,10.6,3.2,94.12
684,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,4,25.0,8.0,3.2,118.0
687,Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,9.0,5.0,103.33
710,Đống Đa,Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,6.0,5.3,100.0
726,Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,3,2,35.0,8.0,4.0,88.57
731,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,3,4,47.0,10.0,4.5,78.72
734,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,9.0,4.0,107.89
746,Ba Đình,Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,3,2,21.0,6.0,3.5,78.57
748,Long Biên,Long Biên,"Nhà ngõ, hẻm",Giấy tờ khác,4,3,52.0,10.5,5.0,54.81
750,Long Biên,Long Biên,"Nhà mặt phố, mặt tiền",Đang chờ sổ,5,4,30.0,5.0,6.0,91.67
751,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,36.0,10.0,3.6,40.28
754,Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,3,2,25.0,5.0,5.0,79.2
770,Hoàn Kiếm,Chương Dương,"Nhà ngõ, hẻm",Đã có sổ,4,4,66.0,11.0,6.0,75.76
780,Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,31.0,6.2,5.0,83.87
783,Đống Đa,Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,6,3,36.0,8.0,4.2,161.11
787,Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,31.0,9.0,3.5,74.19
801,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,39.0,10.0,3.9,42.31
805,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,87.5
818,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,39.8,6.7,6.0,41.54
822,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,37.0,10.2,3.6,37.84
829,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,9.0,4.5,75.71
832,Đống Đa,Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,10.0,3.5,110.0
836,Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,31.0,7.8,4.0,79.03
841,Bắc Từ Liêm,Thượng Cát,"Nhà ngõ, hẻm",Đã có sổ,3,3,32.0,8.0,5.0,45.31
852,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4,42.0,14.0,3.0,76.19
862,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,10.0,3.4,79.41
871,Hà Đông,Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,4,4,37.0,10.0,3.7,45.68
874,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,4,45.0,10.0,4.5,118.89
